10,4950,8
10,6450,9
10,6700,10
10,6700,10
10,6150,9
10,5400,8
10,6700,10
10,6700,10
10,5820,9
10,6700,10
15,4950,8
15,5950,9
15,6600,9
15,5780,9
15,6700,10
15,6600,9
15,6700,10
15,6600,9
15,6600,9
15,6700,10
20,6450,9
20,6600,9
20,6700,10
20,6700,10
20,5680,8
20,6150,9
20,6450,9
20,6150,9
20,6700,10
20,6450,9
25,6300,9
25,6600,9
25,6700,10
25,6600,9
25,6600,9
25,6600,9
25,6700,10
25,6700,10
25,6300,9
25,6700,10
30,6700,10
30,6600,9
30,5050,8
30,6700,10
30,6700,10
30,5400,8
30,5950,9
30,5950,9
30,6700,10
30,6700,10
35,6300,9
35,6600,9
35,5820,9
35,6700,10
35,6700,10
35,6700,10
35,6600,9
35,6150,9
35,6700,10
35,6700,10
